external_id,title,url,slot,brand,subcategory,primary_colour,dress_code,formality,warmth,price_minor,currency,image_url,in_stock,gender
demo-churidar-cream,Cream churidar,https://www.myntra.com/churidar?q=cream%20churidar,lower,,churidar,cream_ivory,festive_ethnic,3,2,89900,INR,https://images.unsplash.com/photo-1780246329172-1340ef8b68a5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8aW5kaWFuJTIwdHJvdXNlcnN8ZW58MXwyfHx8MTc5MDEzOTE1NHww&ixlib=rb-4.1.0&q=80&w=400,true,women
demo-pyjama-ivory,Ivory kurta pyjama bottom,https://www.myntra.com/kurta-sets?q=ivory%20pyjama,lower,,churidar,cream_ivory,formal_ethnic,4,2,99900,INR,https://images.unsplash.com/photo-1713173922799-42c38fc7359c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8Mnx8a3VydGElMjBweWphbWF8ZW58MXwyfHx8MTc5MDEzOTExN3ww&ixlib=rb-4.1.0&q=80&w=400,true,men
demo-lehenga-maroon,Maroon lehenga skirt,https://www.myntra.com/lehenga-choli?q=maroon%20lehenga,lower,,lehenga_skirt,maroon,festive_ethnic,4,2,349900,INR,https://images.unsplash.com/photo-1729146768775-3662af38016e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8bGVoZW5nYXxlbnwxfDJ8fHwxNzkwMTM5MTE4fDA&ixlib=rb-4.1.0&q=80&w=400,true,women
demo-palazzo-gold,Gold palazzo trousers,https://www.myntra.com/palazzos?q=gold%20palazzo,lower,,palazzo,gold,festive_ethnic,3,2,129900,INR,https://images.unsplash.com/photo-1590159983013-d4ff5fc71c1d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8cGFsYXp6byUyMHBhbnRzfGVufDF8Mnx8fDE3OTAxMzkxMTh8MA&ixlib=rb-4.1.0&q=80&w=400,true,women
demo-sherwani-ivory,Ivory sherwani,https://www.myntra.com/sherwani?q=ivory%20sherwani,full_body,,sherwani,cream_ivory,formal_ethnic,5,3,899900,INR,https://images.unsplash.com/photo-1786687056203-44b7fd2a5efa?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8aW5kaWFuJTIwZ3Jvb218ZW58MXwyfHx8MTc5MDEzOTE1NXww&ixlib=rb-4.1.0&q=80&w=400,true,men
demo-anarkali-teal,Teal anarkali,https://www.myntra.com/anarkali-suits?q=teal%20anarkali,full_body,,anarkali,teal,festive_ethnic,4,2,449900,INR,https://images.unsplash.com/photo-1774437667935-2f9995fd47b2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8aW5kaWFuJTIwZXRobmljJTIwZHJlc3N8ZW58MXwyfHx8MTc5MDEzOTE1NXww&ixlib=rb-4.1.0&q=80&w=400,true,women
demo-salwar-set-pink,Pink salwar kameez set,https://www.myntra.com/kurta-sets?q=pink%20salwar%20kameez,full_body,,salwar_kameez_set,rani_pink,festive_ethnic,3,2,239900,INR,https://images.unsplash.com/photo-1780247585190-343fbb738c67?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8c2Fsd2FyJTIwa2FtZWV6fGVufDF8Mnx8fDE3OTAxMzkxMjB8MA&ixlib=rb-4.1.0&q=80&w=400,true,women
demo-indowestern-black,Black indo-western set,https://www.myntra.com/indo-western?q=black%20indo%20western,full_body,,indo_western_set,black,black_tie,5,2,699900,INR,https://images.unsplash.com/photo-1594140700508-0d52fffe633d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8aW5kaWFuJTIwd2VkZGluZyUyMG91dGZpdHxlbnwxfDJ8fHwxNzkwMTM5MTU2fDA&ixlib=rb-4.1.0&q=80&w=400,true,men
demo-jersey-navy,Navy training tee,https://www.myntra.com/tshirts?q=training%20tshirt,upper_base,,jersey_sports,blue_navy,activewear,1,2,79900,INR,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8c3BvcnRzJTIwdCUyMHNoaXJ0fGVufDF8Mnx8fDE3OTAxNDQwODZ8MA&ixlib=rb-4.1.0&q=80&w=400,true,unisex
demo-tank-grey,Grey training tank,https://www.myntra.com/tshirts?q=gym%20tank,upper_base,,tank_top,grey_light,activewear,1,2,59900,INR,https://images.unsplash.com/photo-1724490056260-44bf1de2617e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8Z3ltJTIwdGFuayUyMHRvcHxlbnwxfDJ8fHwxNzkwMTQ0MDg3fDA&ixlib=rb-4.1.0&q=80&w=400,true,unisex
demo-joggers-black,Black training joggers,https://www.myntra.com/track-pants?q=joggers,lower,,joggers,black,activewear,1,2,109900,INR,https://images.unsplash.com/photo-1576751691889-568b63882cd5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8am9nZ2Vyc3xlbnwxfDJ8fHwxNzkwMTQ0MDg3fDA&ixlib=rb-4.1.0&q=80&w=400,true,unisex
demo-shorts-navy,Navy running shorts,https://www.myntra.com/shorts?q=running%20shorts,lower,,shorts,blue_navy,activewear,1,2,69900,INR,https://images.unsplash.com/photo-1631899522966-70eaf052006a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8cnVubmluZyUyMHNob3J0c3xlbnwxfDJ8fHwxNzkwMTQ0MDg4fDA&ixlib=rb-4.1.0&q=80&w=400,true,unisex
demo-leggings-black,Black training leggings,https://www.myntra.com/leggings?q=gym%20leggings,lower,,leggings,black,activewear,1,2,89900,INR,https://images.unsplash.com/photo-1594737626072-90dc274bc2bd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8Z3ltJTIwbGVnZ2luZ3N8ZW58MXwyfHx8MTc5MDE0NDA4OHww&ixlib=rb-4.1.0&q=80&w=400,true,women
demo-running-white,White running shoes,https://www.myntra.com/sports-shoes?q=running%20shoes,feet,,running_shoes,white,activewear,1,2,349900,INR,https://images.unsplash.com/photo-1491553895911-0055eca6402d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8cnVubmluZyUyMHNob2VzfGVufDF8Mnx8fDE3OTAxNDQwODl8MA&ixlib=rb-4.1.0&q=80&w=400,true,unisex
